Population	Genotype	F2	F3	Group
B73/PHW30	B73_PHW30_010	76	63.4695	Upright
B73/PHW30	B73_PHW30_024	62	55.55583333	Flat
B73/PHW30	B73_PHW30_026	74	65.8515	Upright
B73/PHW30	B73_PHW30_027	68	57.18583333	Average
B73/PHW30	B73_PHW30_031	76	68.961	Upright
B73/PHW30	B73_PHW30_036	76	70.33466667	Upright
B73/PHW30	B73_PHW30_041	51	60.82416667	Flat
B73/PHW30	B73_PHW30_046	58	57.38283333	Flat
B73/PHW30	B73_PHW30_048	53	51.8445	Flat
B73/PHW30	B73_PHW30_051	79	68.1225	Upright
B73/PHW30	B73_PHW30_057	55	57.02816667	Flat
B73/PHW30	B73_PHW30_063	68	58.46266667	Average
B73/PHW30	B73_PHW30_064	77	68.79183333	Upright
B73/PHW30	B73_PHW30_068	69	66.12216667	Average
B73/PHW30	B73_PHW30_071	56	69.54733333	Flat
B73/PHW30	B73_PHW30_088	69	62.04316667	Average
B73/PHW30	B73_PHW30_092	58	60.20566667	Flat
B73/PHW30	B73_PHW30_097	76	64.7365	Upright
B73/PHW30	B73_PHW30_098	77.968		Upright
B73/PHW30	B73_PHW30_100	78	67.80366667	Upright
B73/PHW30	B73_PHW30_102	77	70.80075	Upright
B73/PHW30	B73_PHW30_108	69	66.23216667	Average
B73/PHW30	B73_PHW30_133	68	69.87466667	Average
B73/PHW30	B73_PHW30_138	61	64.93466667	Flat
B73/PHW30	B73_PHW30_141	78	67.21525	Upright
B73/PHW30	B73_PHW30_152	60	59.834	Flat
B73/PHW30	B73_PHW30_154	77	67.516	Upright
B73/PHW30	B73_PHW30_163	76	66.63758333	Upright
B73/PHW30	B73_PHW30_166	68	63.0615	Average
B73/PHW30	B73_PHW30_176	69	64.68425	Average
B73/PHW30	B73_PHW30_183	61	56.41316667	Flat
B73/PHW30	B73_PHW30_186	57	58.75383333	Flat
B73/PHW30	B73_PHW30_196	68	69.44	Average
B73/PHW30	B73_PHW30_201	76	66.1145	Upright
B73/PHW30	B73_PHW30_207	57	65.748	Flat
B73/PHW30	B73_PHW30_211	69	63.81333333	Average
B73/PHW30	B73_PHW30_214	56	60.10066667	Flat
B73/PHW30	B73_PHW30_226	75	68.86016667	Upright
B73/PHW30	B73_PHW30_229	69	67.48466667	Average
B73/PHW30	B73_PHW30_234	76	62.0465	Upright
B73/PHW30	B73_PHW30_237	59	63.48316667	Flat
B73/PHW30	B73_PHW30_251	53	62.64433333	Flat
B73/PHW30	B73_PHW30_252	69	61.574	Average
B73/PHW30	B73_PHW30_256	76	73.4285	Upright
