Genotype	Population	LA	Selected	Group
B73/PHW30	F1	74.037	No	
B73/PHW30	F1	71.598	No	
B73/PHW30	F1	69.887	No	
B73/PHW30	F1	56.067	No	
B73/PHW30	F1	64.564	No	
B73/PHW30	F1	73.691	No	
B73/PHW30	F1	67.639	No	
B73/PHW30	F1	70.493	No	
B73/PHW30	F1	68.122	No	
B73/PHW30	F1	75.666	No	
B73/PHW30	F1	71.618	No	
B73/PHW30	F1	53.222	No	
B73/PHW30	F1	73.008	No	
B73/PHW30	F1	73.997	No	
B73/PHW30	F1	57.349	No	
B73/PHW30	F1	72.917	No	
B73/PHW30	F1	70.108	No	
B73/PHW30	F1	72.8	No	
B73/PHW30	F1	67.057	No	
B73/PHW30	F1	62.023	No	
B73/PHW30	F1	65.728	No	
B73/PHW30	F1	68.07	No	
B73/PHW30	F1	68.368	No	
B73/PHW30	F1	71.02	No	
B73/PHW30	F1	53.905	No	
B73/PHW30	F1	65.091	No	
B73/PHW30	F1	76.35	No	
B73/PHW30	F1	68.497	No	
B73/PHW30	F1	61.553	No	
B73/PHW30	F1	70.027	No	
B73/PHW30	F1	65.932	No	
B73/PHW30	F1	67.057	No	
B73/PHW30	F1	68.209	No	
B73/PHW30	F1	66.485	No	
B73/PHW30	F1	64.623	No	
B73/PHW30	F1	69.815	No	
B73/PHW30	F1	74.805	No	
B73/PHW30	F1	72.946	No	
B73/PHW30	F1	64.71	No	
B73/PHW30	F1	69.775	No	
B73/PHW30	F1	69.289	No	
B73/PHW30	F1	65.381	No	
B73/PHW30	F1	64.224	No	
B73/PHW30	F1	61.888	No	
B73/PHW30	F1	67.16	No	
B73/PHW30	F1	73.462	No	
B73/PHW30	F1	62.293	No	
B73/PHW30	F1	70.508	No	
B73/PHW30_001	B73/PHW30	62.816	No	
B73/PHW30_002	B73/PHW30	66.129	No	
B73/PHW30_003	B73/PHW30	63.371	No	
B73/PHW30_004	B73/PHW30	70.94	No	
B73/PHW30_005	B73/PHW30	65.859	No	
B73/PHW30_006	B73/PHW30	69.54	No	
B73/PHW30_007	B73/PHW30	61.521	No	
B73/PHW30_008	B73/PHW30	69.495	No	
B73/PHW30_009	B73/PHW30	68.473	No	
B73/PHW30_010	B73/PHW30	75.529	Yes	Upright
B73/PHW30_011	B73/PHW30	69.425	No	
B73/PHW30_012	B73/PHW30	69.092	No	
B73/PHW30_013	B73/PHW30	67.574	No	
B73/PHW30_014	B73/PHW30	68.651	No	
B73/PHW30_015	B73/PHW30	73.147	No	
B73/PHW30_016	B73/PHW30	68.112	No	
B73/PHW30_017	B73/PHW30	73.523	No	
B73/PHW30_018	B73/PHW30	71.867	No	
B73/PHW30_019	B73/PHW30	64.978	No	
B73/PHW30_020	B73/PHW30	66.29	No	
B73/PHW30_021	B73/PHW30	65.877	No	
B73/PHW30_022	B73/PHW30	64.716	No	
B73/PHW30_023	B73/PHW30	NA	No	
B73/PHW30_024	B73/PHW30	61.957	Yes	Flat
B73/PHW30_025	B73/PHW30	75.685	No	
B73/PHW30_026	B73/PHW30	74.4	Yes	Upright
B73/PHW30_027	B73/PHW30	67.779	Yes	Average
B73/PHW30_028	B73/PHW30	73.72	No	
B73/PHW30_029	B73/PHW30	62.551	No	
B73/PHW30_030	B73/PHW30	69.483	No	
B73/PHW30_031	B73/PHW30	75.651	Yes	Upright
B73/PHW30_032	B73/PHW30	72.957	No	
B73/PHW30_033	B73/PHW30	71.954	No	
B73/PHW30_034	B73/PHW30	72.173	No	
B73/PHW30_035	B73/PHW30	72.494	No	
B73/PHW30_036	B73/PHW30	76.061	Yes	Upright
B73/PHW30_037	B73/PHW30	71.428	No	
B73/PHW30_038	B73/PHW30	70.236	No	
B73/PHW30_039	B73/PHW30	63.435	No	
B73/PHW30_040	B73/PHW30	69.431	No	
B73/PHW30_041	B73/PHW30	50.788	Yes	Flat
B73/PHW30_042	B73/PHW30	68.894	No	
B73/PHW30_043	B73/PHW30	66.089	No	
B73/PHW30_044	B73/PHW30	71.218	No	
B73/PHW30_045	B73/PHW30	73.77	No	
B73/PHW30_046	B73/PHW30	58.341	Yes	Flat
B73/PHW30_047	B73/PHW30	65.6	No	
B73/PHW30_048	B73/PHW30	52.675	Yes	Flat
B73/PHW30_049	B73/PHW30	68.722	No	
B73/PHW30_050	B73/PHW30	65.507	No	
B73/PHW30_051	B73/PHW30	78.796	Yes	Upright
B73/PHW30_052	B73/PHW30	70.036	No	
B73/PHW30_053	B73/PHW30	74.684	No	
B73/PHW30_054	B73/PHW30	78.23	No	
B73/PHW30_055	B73/PHW30	67.153	No	
B73/PHW30_056	B73/PHW30	71.922	No	
