Lines	F2_MLA	F3_MLA
B73_PHW30_010:250563190	75.529	63.4695
B73_PHW30_024:250563191	61.957	55.55583333
B73_PHW30_026:250563192	74.4	65.8515
B73_PHW30_027:250563193	67.779	57.18583333
B73_PHW30_031:250563194	75.651	68.961
B73_PHW30_036:250563195	76.061	70.33466667
B73_PHW30_041:250563196	50.788	60.82416667
B73_PHW30_046:250563197	58.341	57.38283333
B73_PHW30_048:250563198	52.675	51.8445
B73_PHW30_051:250563199	78.796	68.1225
B73_PHW30_057:250563200	55.452	57.02816667
B73_PHW30_063:250563201	68.172	58.46266667
B73_PHW30_064:250563202	77.201	68.79183333
B73_PHW30_068:250563203	69.178	66.12216667
B73_PHW30_071:250563204	56.075	69.54733333
B73_PHW30_088:250563205	69.284	62.04316667
B73_PHW30_092:250563206	58.377	60.20566667
B73_PHW30_097:250563207	76.483	64.7365
B73_PHW30_098:250563651	77.968	NA
B73_PHW30_100:250563208	77.92	67.80366667
B73_PHW30_102:250563209	77.098	70.80075
B73_PHW30_108:250563210	68.677	66.23216667
B73_PHW30_133:250563211	68.195	69.87466667
B73_PHW30_138:250563212	60.938	64.93466667
B73_PHW30_141:250563213	77.613	67.21525
B73_PHW30_152:250563214	59.978	59.834
B73_PHW30_154:250563215	77.406	67.516
B73_PHW30_163:250563216	75.792	66.63758333
B73_PHW30_166:250563217	68.173	63.0615
B73_PHW30_176:250563218	68.8	64.68425
B73_PHW30_183:250563230	61.473	56.41316667
B73_PHW30_186:250563231	57.45	58.75383333
B73_PHW30_196:250563232	68.2	69.44
B73_PHW30_201:250563233	75.566	66.1145
B73_PHW30_207:250563234	57.354	65.748
B73_PHW30_211:250563235	68.751	63.81333333
B73_PHW30_214:250563236	55.786	60.10066667
B73_PHW30_226:250563237	75.416	68.86016667
B73_PHW30_229:250563238	69.174	67.48466667
B73_PHW30_234:250563239	75.51	62.0465
B73_PHW30_237:250563240	59.231	63.48316667
B73_PHW30_251:250563241	52.839	62.64433333
B73_PHW30_252:250563242	69.266	61.574
B73_PHW30_256:250563243	75.511	73.4285
B73_PHW30_258:250563244	60.309	64.87616667
B73_PHW30_275:250563245	68.315	59.75316667
B73_PHW30_285:250563246	75.58	57.41533333
B73_PHW30_288:250563247	75.857	62.8515
B73_PHW30_300:250563248	58.901	67.54066667
B73_PHW30_302:250563249	56.829	68.73966667
B73_PHW30_316:250563250	67.649	62.661
B73_PHW30_317:250563251	58.686	66.69966667
B73_PHW30_334:250563252	59.234	62.07516667
B73_PHW30_335:250563253	78.639	69.09933333
B73_PHW30_348:250563254	75.925	71.358
B73_PHW30_368:250563255	79.189	62.4745
B73_PHW30_369:250563256	67.837	67.81083333
B73_PHW30_370:250563257	58.366	60.09216667
B73_PHW30_385:250563258	69.013	64.68066667
B73_PHW30_392:250563259	58.962	65.267
B73_PHW30_396:250563260	59.947	59.05883333
B73_PHW30_409:250563261	69.232	57.58666667
B73_PHW30_412:250563284	68.275	68.47416667
PHW30_B73_002:250563263	56.507	61.25433333
PHW30_B73_005:250563264	68.991	65.74
PHW30_B73_006:250563265	66.451	63.34216667
PHW30_B73_007:250563266	75.819	65.68
PHW30_B73_009:250563267	78.157	69.96183333
PHW30_B73_015:250563268	65.75	66.22766667
PHW30_B73_029:250563269	75.657	68.497
PHW30_B73_045:250563270	67.383	66.57733333
PHW30_B73_055:250563271	78.959	63.50416667
PHW30_B73_060:250563272	78.261	67.179
PHW30_B73_064:250563273	59.961	61.72916667
PHW30_B73_066:250563274	64.6	59.95883333
