Lines	F2_MLA	F3_MLA
Mo17_PHW30_008:250563491	68.128	46.90866667
Mo17_PHW30_009:250563492	59.348	56.29816667
Mo17_PHW30_013:250563493	77.191	46.42716667
Mo17_PHW30_016:250563494	76.999	56.059
Mo17_PHW30_021:250563495	78.866	56.593
Mo17_PHW30_034:250563496	60.705	54.3395
Mo17_PHW30_044:250563497	60.025	38.9345
Mo17_PHW30_070:250563498	61.793	48.863
Mo17_PHW30_075:250563499	58.719	49.21383333
Mo17_PHW30_080:250563500	79.096	49.43416667
Mo17_PHW30_081:250563501	78.049	58.68033333
Mo17_PHW30_084:250563653	57.6	NA
Mo17_PHW30_086:250563502	79.564	56.74233333
Mo17_PHW30_089:250563503	77.972	63.54033333
Mo17_PHW30_091:250563504	70.078	49.96866667
Mo17_PHW30_094:250563505	60.629	56.03666667
Mo17_PHW30_107:250563506	77.22	54.32083333
Mo17_PHW30_109:250563507	60.043	52.84983333
Mo17_PHW30_120:250563508	77.136	66.35983333
Mo17_PHW30_121:250563509	68.539	54.81566667
Mo17_PHW30_126:250563510	69.327	52.07533333
Mo17_PHW30_133:250563511	76.1	58.338
Mo17_PHW30_148:250563512	77.456	54.90166667
Mo17_PHW30_153:250563513	77.552	71.0475
Mo17_PHW30_157:250563514	61.327	53.51316667
Mo17_PHW30_160:250563515	60.182	56.97416667
Mo17_PHW30_163:250563516	59.069	41.485
Mo17_PHW30_184:250563517	69.645	49.46266667
Mo17_PHW30_200:250563518	70.084	61.3365
Mo17_PHW30_203:250563519	56.137	44.1085
Mo17_PHW30_217:250563520	68.457	55.71916667
Mo17_PHW30_231:250563521	53.78	35.36783333
Mo17_PHW30_235:250563522	52.989	49.8985
Mo17_PHW30_246:250563523	68.937	56.51533333
Mo17_PHW30_248:250563524	77.571	56.53033333
Mo17_PHW30_254:250563525	77.551	59.08833333
Mo17_PHW30_259:250563536	56.613	40.585
Mo17_PHW30_262:250563527	79.151	57.52633333
Mo17_PHW30_275:250563528	69.043	60.85683333
Mo17_PHW30_277:250563529	59.337	43.31816667
Mo17_PHW30_279:250563654	60.157	NA
Mo17_PHW30_281:250563530	81.538	60.21
Mo17_PHW30_289:250563531	78.954	57.01516667
Mo17_PHW30_292:250563571	60.35	53.20183333
Mo17_PHW30_309:250563572	79.895	61.73466667
Mo17_PHW30_314:250563573	59.462	46.701
Mo17_PHW30_321:250563574	68.812	58.84733333
Mo17_PHW30_324:250563575	70.3	48.394
Mo17_PHW30_332:250563576	78.836	62.94466667
Mo17_PHW30_341:250563655	79.147	NA
Mo17_PHW30_346:250563656	70.083	NA
Mo17_PHW30_359:250563577	77.557	55.7995
Mo17_PHW30_389:250563578	69.701	41.5145
Mo17_PHW30_401:250563579	79.989	63.84616667
Mo17_PHW30_409:250563580	56.941	48.247
Mo17_PHW30_429:250563581	68.698	51.92483333
Mo17_PHW30_430:250563582	56.574	48.10016667
Mo17_PHW30_431:250563583	69.994	61.33266667
Mo17_PHW30_438:250563584	59.395	52.5355
Mo17_PHW30_440:250563585	60.427	54.25183333
Mo17_PHW30_454:250563586	69.713	58.02766667
Mo17_PHW30_455:250563587	80.002	65.555
Mo17_PHW30_456:250563588	69.804	57.70416667
PHW30_Mo17_003:250563589	79.58	60.0265
PHW30_Mo17_010:250563590	60	62.39483333
PHW30_Mo17_016:250563591	76	53.04583333
PHW30_Mo17_019:250563592	57	55.66566667
PHW30_Mo17_026:250563593	68	61.52583333
PHW30_Mo17_027:250563594	66	45.15333333
PHW30_Mo17_028:250563595	74	57.80133333
PHW30_Mo17_032:250563596	75	49.42483333
PHW30_Mo17_033:250563597	66	46.591
PHW30_Mo17_037:250563598	75	48.23983333
PHW30_Mo17_049:250563599	74	55.46933333
PHW30_Mo17_050:250563600	75	55.02
PHW30_Mo17_051:250563601	75	51.93566667
PHW30_Mo17_054:250563602	77	59.11933333
PHW30_Mo17_059:250563661	77	62.296
PHW30_Mo17_061:250563604	62	59.752
PHW30_Mo17_064:250563605	67	50.48116667
PHW30_Mo17_065:250563606	68	55.24233333
PHW30_Mo17_073:250563607	68	53.18816667
PHW30_Mo17_076:250563608	60	42.09133333
PHW30_Mo17_077:250563609	62	52.41866667
PHW30_Mo17_085:250563610	68	58.40116667
PHW30_Mo17_088:250563611	60	51.33733333
PHW30_Mo17_089:250563612	77	62.87766667
PHW30_Mo17_092:250563613	67	59.70916667
PHW30_Mo17_095:250563614	57	57.54366667
PHW30_Mo17_099:250563615	55	57.648
PHW30_Mo17_101:250563616	67	53.08366667
PHW30_Mo17_107:250563617	59	52.7705
PHW30_Mo17_110:250563618	67	53.63016667
PHW30_Mo17_113:250563619	77	62.32583333
PHW30_Mo17_129:250563620	78	63.35016667
PHW30_Mo17_135:250563621	55	46.12666667
PHW30_Mo17_136:250563622	76	52.78333333
PHW30_Mo17_139:250563623	68	49.16316667
PHW30_Mo17_141:250563624	50	48.8305
PHW30_Mo17_142:250563625	54	47.279
PHW30_Mo17_147:250563626	76	57.09983333
