Chr	Bin	Grouped_pvalue	Rnk	Gene	Maize_Gene_Name	Species	QTLID	SourceID	Canopy_Level
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	2	Mickelson et al.,2002	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	22	Lu et al.,2007	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	34	Tian et al.,2011	2
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	70	Liu et al.,2014	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	75	Liu et al.,2014	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	91	Chen et al.,2015	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	96	Chen et al.,2015	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	103	Ding et al.,2015	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	104	Ding et al.,2015	3
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	118	Hou et al.,2015	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	119	Hou et al.,2015	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	132	Li et al.,2015	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	247	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	248	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	249	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	250	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	251	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	252	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	253	Pan et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	370	Wang et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	371	Wang et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	372	Wang et al.,2017	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	407	Zhang et al.,2017	5
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	432	Zhang et al.,2017	1
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	460	Zhao et al.,2018	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	461	Zhao et al.,2018	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	462	Zhao et al.,2018	4
2	1	5.3992092547377265e-56	1	lg1	GRMZM2G036297	Maize	463	Zhao et al.,2018	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	26	Ku et al.,2010	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	29	Tian et al.,2011	2
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	67	Liu et al.,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	68	Liu et al.,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	69	Liu et al.,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	72	Liu et al.,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	73	Liu et al.,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	74	Liu et al.,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	78	Potts,2014	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	89	Chen et al.,2015	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	94	Chen et al.,2015	3
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	115	Hou et al.,2015	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	218	Pan et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	219	Pan et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	220	Pan et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	221	Pan et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	367	Wang et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	368	Wang et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	369	Wang et al.,2017	4
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	427	Zhang et al.,2017	1
1	3	2.1414829443405936e-44	2	drl1	GRMZM2G088309	Maize	451	Zhao et al.,2018	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	3	Mickelson et al.,2002	3
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	13	Yu et al.,2006	3
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	35	Tian et al.,2011	2
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	133	Li et al.,2015	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	254	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	255	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	256	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	257	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	258	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	259	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	260	Pan et al.,2017	4
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	408	Zhang et al.,2017	5
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	433	Zhang et al.,2017	1
2	2	1.2033316029907023e-25	3	RAVL1	GRMZM2G102059	Rice	434	Zhang et al.,2017	1
7	14	2.82585265093126e-25	4	NA	NA	NA	49	Tian et al.,2011	2
7	14	2.82585265093126e-25	4	NA	NA	NA	109	Ding et al.,2015	3
7	14	2.82585265093126e-25	4	NA	NA	NA	156	Chang et al.,2016	4
7	14	2.82585265093126e-25	4	NA	NA	NA	172	Chang et al.,2016	4
7	14	2.82585265093126e-25	4	NA	NA	NA	212	Ku et al.,2016	3
7	14	2.82585265093126e-25	4	NA	NA	NA	305	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	306	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	307	Pan et al.,2017	4
7	14	2.82585265093126e-25	4	NA	NA	NA	308	Pan et al.,2017	4
