Chr	Bin	Grouped_pvalue	n	Passed.x	Bin_Start	Bin_End	Rnk	Top_15	Passed.y	Gene	Maize_Gene_Name	Start	End	Species	Midpoint	SourceID
1	2	1.0224012710224485e-21	6	TRUE	10	20	8	Yes	TRUE	OsMDP1	GRMZM2G059102 	17964695	17986258	Rice	17975476.5	Cand
1	3	2.1414829443405936e-44	10	TRUE	20	30	2	Yes	TRUE	drl1	GRMZM2G088309	26576546	26581704	Maize	26579125	Cand
1	4	1.39708683990669e-19	5	TRUE	30	40	13	Yes	TRUE	ZmDWF4/brs1	GRMZM2G065635	30536470	30542652	Maize	30539561	Cand
1	4	1.39708683990669e-19	5	TRUE	30	40	13	Yes	TRUE	LPA1	GRMZM2G465595	31769080	31772988	Rice	31771034	Cand
1	4	1.39708683990669e-19	5	TRUE	30	40	13	Yes	TRUE	pmk1	GRMZM2G019260	34940742	34950638	Maize	34945690	Cand
2	1	5.3992092547377265e-56	12	TRUE	0	10	1	Yes	TRUE	lg1	GRMZM2G036297	4265163	4268840	Maize	4267001.5	Cand
2	2	1.2033316029907023e-25	6	TRUE	10	20	3	Yes	TRUE	RAVL1	GRMZM2G102059	15033794	15035837	Rice	15034815.5	Cand
3	3	8.579155316643431e-19	4	TRUE	20	30	14	Yes	NA	NA	NA	NA	NA	NA	NA	NA
3	18	1.3337343424626727e-23	3	TRUE	170	180	5	Yes	TRUE	lg2	GRMZM2G060216	176845304	176853978	Maize	176849641	Cand
4	13	1.3e-22	1	TRUE	120	130	7	Yes	NA	NA	NA	NA	NA	NA	NA	NA
5	18	4.9523369694415555e-21	6	TRUE	170	180	12	Yes	NA	NA	NA	NA	NA	NA	NA	NA
7	13	1.090071682046675e-21	5	TRUE	120	130	9	Yes	NA	NA	NA	NA	NA	NA	NA	NA
7	14	2.82585265093126e-25	6	TRUE	130	140	4	Yes	NA	NA	NA	NA	NA	NA	NA	NA
8	17	1.5684520240694963e-21	5	TRUE	160	170	10	Yes	TRUE	lrs1	AC232238.2_FG004	166341735	166349613	Maize	166345674	Cand
9	15	4.474848676384984e-21	4	TRUE	140	150	11	Yes	TRUE	LPA1	GRMZM2G074032	144292832	144296553	Rice	144294692.5	Cand
9	15	4.474848676384984e-21	4	TRUE	140	150	11	Yes	TRUE	drl2	GRMZM2G102218	146951299	146956590	Maize	146953944.5	Cand
10	2	8.25576008899576e-18	3	TRUE	10	20	15	Yes	NA	NA	NA	NA	NA	NA	NA	NA
10	15	3.085988383704825e-23	6	TRUE	140	150	6	Yes	TRUE	OsLG1	GRMZM2G058588	145726895	145730461	Rice	145728678	Cand
