Population	TraitID	TraitName	Chromosome	Position	LeftMarker	RightMarker	LOD
B73	1	F2_MLA	1	0	1_3197225	1_3703021	1.996
B73	1	F2_MLA	1	1	1_3703558	1_4040251	2.3103
B73	1	F2_MLA	1	2	1_4040254	1_4548117	2.3158
B73	1	F2_MLA	1	3	1_6542353	1_6542354	2.6415
B73	1	F2_MLA	1	4	1_6542354	1_7355735	2.5673
B73	1	F2_MLA	1	5	1_6542354	1_7355735	2.4701
B73	1	F2_MLA	1	6	1_7355735	1_7390746	2.4374
B73	1	F2_MLA	1	7	1_7390746	1_7490302	2.3383
B73	1	F2_MLA	1	8	1_7490302	1_7861227	2.1701
B73	1	F2_MLA	1	9	1_7861258	1_8538065	2.0523
B73	1	F2_MLA	1	10	1_9581609	1_10820660	2.07
B73	1	F2_MLA	1	11	1_10826945	1_10826970	2.0164
B73	1	F2_MLA	1	12	1_10826945	1_10826970	1.6096
B73	1	F2_MLA	1	13	1_10826970	1_11526000	1.535
B73	1	F2_MLA	1	14	1_10826970	1_11526000	1.5676
B73	1	F2_MLA	1	15	1_10826970	1_11526000	1.599
B73	1	F2_MLA	1	16	1_11526000	1_11910984	1.5063
B73	1	F2_MLA	1	17	1_11910984	1_12521405	1.2714
B73	1	F2_MLA	1	18	1_12521405	1_12521525	0.9966
B73	1	F2_MLA	1	19	1_12521525	1_12521527	0.93
B73	1	F2_MLA	1	20	1_12822585	1_12822598	0.5971
B73	1	F2_MLA	1	21	1_12822598	1_14449070	0.5463
B73	1	F2_MLA	1	22	1_12822598	1_14449070	0.5645
B73	1	F2_MLA	1	23	1_12822598	1_14449070	0.5872
B73	1	F2_MLA	1	24	1_12822598	1_14449070	0.6133
B73	1	F2_MLA	1	25	1_14449374	1_14510716	0.1545
B73	1	F2_MLA	1	26	1_16045335	1_16698844	0.1135
B73	1	F2_MLA	1	27	1_16783679	1_18199313	0.1841
B73	1	F2_MLA	1	28	1_21471998	1_21474433	0.1124
B73	1	F2_MLA	1	29	1_21471998	1_21474433	0.1164
B73	1	F2_MLA	1	30	1_21474433	1_23609916	0.0749
B73	1	F2_MLA	1	31	1_24583363	1_25414680	0.0676
B73	1	F2_MLA	1	32	1_25414680	1_25414691	0.0789
B73	1	F2_MLA	1	33	1_25414691	1_25415174	0.1854
B73	1	F2_MLA	1	34	1_25416030	1_25876183	0.2242
B73	1	F2_MLA	1	35	1_25416030	1_25876183	0.2193
B73	1	F2_MLA	1	36	1_25876183	1_26690897	0.2274
B73	1	F2_MLA	1	37	1_26690897	1_28963158	0.2469
B73	1	F2_MLA	1	38	1_26690897	1_28963158	0.2536
B73	1	F2_MLA	1	39	1_29359860	1_29359866	0.2648
B73	1	F2_MLA	1	40	1_29494982	1_30299870	0.2587
B73	1	F2_MLA	1	41	1_30539652	1_30683487	0.2073
B73	1	F2_MLA	1	42	1_31206953	1_32870946	0.1591
B73	1	F2_MLA	1	43	1_33827922	1_33831804	0.266
B73	1	F2_MLA	1	44	1_33831804	1_34407816	0.3763
B73	1	F2_MLA	1	45	1_34716519	1_34936445	0.4722
B73	1	F2_MLA	1	46	1_34962055	1_34968209	0.4254
B73	1	F2_MLA	1	47	1_35182930	1_35576351	0.5353
B73	1	F2_MLA	1	48	1_36154754	1_36507483	0.6294
B73	1	F2_MLA	1	49	1_38741613	1_38741627	0.4846
B73	1	F2_MLA	1	50	1_38741627	1_38794214	0.3578
B73	1	F2_MLA	1	51	1_38794214	1_38879841	0.4149
B73	1	F2_MLA	1	52	1_38879841	1_39038392	0.5548
B73	1	F2_MLA	1	53	1_39066404	1_39752603	0.8027
B73	1	F2_MLA	1	54	1_40141758	1_40355144	0.9006
B73	1	F2_MLA	1	55	1_40355144	1_40419606	1.0239
B73	1	F2_MLA	1	56	1_40419608	1_40939140	0.8971
B73	1	F2_MLA	1	57	1_41245277	1_41426297	0.752
B73	1	F2_MLA	1	58	1_43149244	1_44340613	0.9727
B73	1	F2_MLA	1	59	1_45117372	1_45147624	0.7752
B73	1	F2_MLA	1	60	1_45147646	1_45275882	0.7843
B73	1	F2_MLA	1	61	1_45147646	1_45275882	0.7744
B73	1	F2_MLA	1	62	1_45365633	1_45365696	0.8041
B73	1	F2_MLA	1	63	1_45404665	1_45404668	0.3912
B73	1	F2_MLA	1	64	1_46546361	1_48537151	0.359
B73	1	F2_MLA	1	65	1_50439182	1_51853057	0.3721
B73	1	F2_MLA	1	66	1_52162314	1_52162316	0.3549
B73	1	F2_MLA	1	67	1_52162314	1_52162316	0.2831
B73	1	F2_MLA	1	68	1_52162316	1_52252502	0.2693
B73	1	F2_MLA	1	69	1_52345238	1_52345405	0.2625
B73	1	F2_MLA	1	70	1_52538918	1_52567938	0.2176
B73	1	F2_MLA	1	71	1_52922759	1_52925235	0.2447
B73	1	F2_MLA	1	72	1_53162347	1_53417451	0.3672
B73	1	F2_MLA	1	73	1_53417479	1_53468425	0.2499
B73	1	F2_MLA	1	74	1_53850163	1_55454752	0.3727
B73	1	F2_MLA	1	75	1_56162355	1_56307824	0.8226
B73	1	F2_MLA	1	76	1_57892097	1_59470040	0.9564
B73	1	F2_MLA	1	77	1_61945367	1_62713403	0.9162
B73	1	F2_MLA	1	78	1_64711101	1_64711124	1.023
B73	1	F2_MLA	1	79	1_64717335	1_64890298	0.987
B73	1	F2_MLA	1	80	1_67142007	1_67533325	0.8486
B73	1	F2_MLA	1	81	1_67533325	1_67646804	1.0849
B73	1	F2_MLA	1	82	1_67646804	1_67727928	1.0826
B73	1	F2_MLA	1	83	1_72224110	1_72884778	1.0018
B73	1	F2_MLA	1	84	1_72884778	1_73375502	1.1996
B73	1	F2_MLA	1	85	1_85896690	1_90222085	1.3927
B73	1	F2_MLA	1	86	1_90222106	1_90223296	1.3312
B73	1	F2_MLA	1	87	1_90223296	1_90223297	1.2468
B73	1	F2_MLA	1	88	1_90223297	1_90226858	1.039
B73	1	F2_MLA	1	89	1_90820028	1_90892964	1.004
B73	1	F2_MLA	1	90	1_90820028	1_90892964	0.9188
B73	1	F2_MLA	1	91	1_92512827	1_93075778	0.8672
B73	1	F2_MLA	1	92	1_96081661	1_96836706	0.7754
B73	1	F2_MLA	1	93	1_99283187	1_102892525	0.7646
B73	1	F2_MLA	1	94	1_105231639	1_107791215	0.9575
B73	1	F2_MLA	1	95	1_107791250	1_107791251	0.8601
B73	1	F2_MLA	1	96	1_108091117	1_110164079	0.7561
B73	1	F2_MLA	1	97	1_110164079	1_112849781	0.7633
B73	1	F2_MLA	1	98	1_115312056	1_115720772	0.7485
B73	1	F2_MLA	1	99	1_155676695	1_158476657	0.6357
B73	1	F2_MLA	1	100	1_161683260	1_164491111	0.6455
B73	1	F2_MLA	1	101	1_166863678	1_166926489	0.6479
B73	1	F2_MLA	1	102	1_166926489	1_166926510	0.6431
B73	1	F2_MLA	1	103	1_170477208	1_173226765	0.4032
B73	1	F2_MLA	1	104	1_173314679	1_174172819	0.388
B73	1	F2_MLA	1	105	1_174172819	1_174217360	0.3341
B73	1	F2_MLA	1	106	1_174217360	1_174295924	0.4205
B73	1	F2_MLA	1	107	1_174560128	1_176330605	0.4467
B73	1	F2_MLA	1	108	1_179981807	1_180625354	0.7602
B73	1	F2_MLA	1	109	1_182871744	1_183098379	0.6302
B73	1	F2_MLA	1	110	1_188014497	1_188052921	0.4258
B73	1	F2_MLA	1	111	1_189087512	1_190481052	0.5683
B73	1	F2_MLA	1	112	1_191099362	1_191529586	0.591
B73	1	F2_MLA	1	113	1_194021374	1_194492785	0.6705
B73	1	F2_MLA	1	114	1_194732069	1_194736617	0.6798
B73	1	F2_MLA	1	115	1_194736617	1_194738673	0.5061
B73	1	F2_MLA	1	116	1_195758537	1_195759923	0.5412
B73	1	F2_MLA	1	117	1_196427791	1_197265014	0.6266
B73	1	F2_MLA	1	118	1_197265014	1_198278897	0.5396
B73	1	F2_MLA	1	119	1_198739836	1_199075675	0.3468
B73	1	F2_MLA	1	120	1_199075675	1_199075684	0.1843
B73	1	F2_MLA	1	121	1_199075675	1_199075684	0.1288
B73	1	F2_MLA	1	122	1_199075675	1_199075684	0.0893
B73	1	F2_MLA	1	123	1_199161072	1_199161078	0.2957
B73	1	F2_MLA	1	124	1_199161091	1_199737863	0.1769
B73	1	F2_MLA	1	125	1_200002221	1_200004481	0.1127
B73	1	F2_MLA	1	126	1_200863502	1_201872787	0.2866
B73	1	F2_MLA	1	127	1_202920553	1_203720113	0.1456
B73	1	F2_MLA	1	128	1_203720113	1_204100721	0.191
B73	1	F2_MLA	1	129	1_205189774	1_205507642	0.1873
B73	1	F2_MLA	1	130	1_206123511	1_206600197	0.1768
B73	1	F2_MLA	1	131	1_207646615	1_207709393	0.1877
B73	1	F2_MLA	1	132	1_207709393	1_207709396	0.1978
B73	1	F2_MLA	1	133	1_207904991	1_208020299	0.2841
B73	1	F2_MLA	1	134	1_208431154	1_210096665	0.2801
B73	1	F2_MLA	1	135	1_210096708	1_210465212	0.2548
B73	1	F2_MLA	1	136	1_211519912	1_212488036	0.2408
B73	1	F2_MLA	1	137	1_212902046	1_213094025	0.3065
B73	1	F2_MLA	1	138	1_213094025	1_214307931	0.3089
B73	1	F2_MLA	1	139	1_214307931	1_214307938	0.2381
B73	1	F2_MLA	1	140	1_214324715	1_214324717	0.2169
B73	1	F2_MLA	1	141	1_214649316	1_214723689	0.2819
B73	1	F2_MLA	1	142	1_214723689	1_214723714	0.2713
B73	1	F2_MLA	1	143	1_214725337	1_214993765	0.1848
B73	1	F2_MLA	1	144	1_216533922	1_216692599	0.1752
B73	1	F2_MLA	1	145	1_216692600	1_216761171	0.0723
B73	1	F2_MLA	1	146	1_216932225	1_217252537	0.0536
B73	1	F2_MLA	1	147	1_217252538	1_217252744	0.1258
B73	1	F2_MLA	1	148	1_219553314	1_220007631	0.3944
B73	1	F2_MLA	1	149	1_219553314	1_220007631	0.3495
B73	1	F2_MLA	1	150	1_220008194	1_222544986	0.3478
B73	1	F2_MLA	1	151	1_225868930	1_225868971	0.2847
B73	1	F2_MLA	1	152	1_226258243	1_228403617	0.1287
B73	1	F2_MLA	1	153	1_230012821	1_230720299	0.2028
B73	1	F2_MLA	1	154	1_230720299	1_231279283	0.2175
B73	1	F2_MLA	1	155	1_230720299	1_231279283	0.1627
B73	1	F2_MLA	1	156	1_232514051	1_232514054	0.1087
B73	1	F2_MLA	1	157	1_232514051	1_232514054	0.0935
B73	1	F2_MLA	1	158	1_232744629	1_232952175	0.1007
B73	1	F2_MLA	1	159	1_236903080	1_237053406	0.0015
