Marker	Chromosome	Position	Population
1_3197225	1	0	B73
1_3703021	1	0.37	B73
1_3703558	1	0.74	B73
1_4040251	1	1.47	B73
1_4040254	1	1.84	B73
1_4548117	1	2.58	B73
1_6542353	1	2.95	B73
1_6542354	1	3.32	B73
1_7355735	1	5.55	B73
1_7390746	1	6.66	B73
1_7490302	1	7.4	B73
1_7861227	1	8.14	B73
1_7861258	1	8.5	B73
1_8538065	1	9.24	B73
1_9581609	1	9.98	B73
1_10820660	1	10.35	B73
1_10826945	1	10.72	B73
1_10826970	1	12.2	B73
1_11526000	1	13.31	B73
1_11910984	1	14.79	B73
1_12521405	1	15.9	B73
1_12521525	1	17.39	B73
1_12521527	1	17.76	B73
1_12822585	1	19.61	B73
1_12822598	1	20.35	B73
1_14449070	1	20.72	B73
1_14449374	1	21.83	B73
1_14510716	1	22.2	B73
1_14510717	1	24.06	B73
1_15353577	1	25.17	B73
1_16045335	1	25.91	B73
1_16698844	1	26.27	B73
1_16777521	1	27.38	B73
1_16783679	1	27.75	B73
1_18199313	1	28.86	B73
1_18974390	1	29.23	B73
1_19100942	1	29.6	B73
1_19235831	1	30.71	B73
1_19521145	1	31.08	B73
1_19521161	1	32.56	B73
1_20908061	1	32.93	B73
1_20908683	1	33.67	B73
1_21471998	1	34.04	B73
1_21474433	1	35.52	B73
1_23609916	1	36.26	B73
1_24583363	1	37	B73
1_25414680	1	38.11	B73
1_25414691	1	38.85	B73
1_25415174	1	39.96	B73
1_25416030	1	41.07	B73
1_25876183	1	41.81	B73
1_26690897	1	42.55	B73
1_28963158	1	42.92	B73
1_28963196	1	43.29	B73
1_28963427	1	44.02	B73
1_28963436	1	44.76	B73
1_29032091	1	45.5	B73
1_29259437	1	45.87	B73
1_29359859	1	46.24	B73
1_29359860	1	46.61	B73
1_29359866	1	46.97	B73
1_29494982	1	47.34	B73
1_30299870	1	47.71	B73
1_30538792	1	48.08	B73
1_30539652	1	48.45	B73
1_30683487	1	48.82	B73
1_30683647	1	49.19	B73
1_31206953	1	49.55	B73
1_32870946	1	49.92	B73
1_33124247	1	50.66	B73
1_33219202	1	51.03	B73
1_33321286	1	51.4	B73
1_33825532	1	51.77	B73
1_33827922	1	52.13	B73
1_33831804	1	52.5	B73
1_34407816	1	53.24	B73
1_34596142	1	53.61	B73
1_34716519	1	53.98	B73
1_34936445	1	54.35	B73
1_34962051	1	54.71	B73
1_34962055	1	55.08	B73
1_34968209	1	55.45	B73
1_35182930	1	55.82	B73
1_35576351	1	56.19	B73
1_35771899	1	56.56	B73
1_36154754	1	56.92	B73
1_36507483	1	57.66	B73
1_37408318	1	58.03	B73
1_37551740	1	58.4	B73
1_38741613	1	58.77	B73
1_38741627	1	59.14	B73
1_38794214	1	60.25	B73
1_38879841	1	61.73	B73
1_39038392	1	62.47	B73
1_39066404	1	62.84	B73
1_39752603	1	63.2	B73
1_40141625	1	63.57	B73
1_40141758	1	63.94	B73
1_40355144	1	65.05	B73
1_40419606	1	65.79	B73
1_40419608	1	66.16	B73
1_40939140	1	66.53	B73
1_41220439	1	66.9	B73
1_41245277	1	67.26	B73
1_41426297	1	67.63	B73
1_43126443	1	68	B73
1_43133540	1	68.74	B73
1_43148030	1	69.85	B73
1_43149244	1	70.59	B73
1_44340613	1	71.33	B73
1_45117372	1	71.7	B73
1_45147624	1	72.06	B73
1_45147646	1	72.8	B73
1_45275882	1	73.91	B73
1_45277627	1	74.28	B73
1_45277630	1	75.02	B73
1_45277670	1	75.76	B73
1_45365633	1	76.5	B73
1_45365696	1	76.86	B73
1_45404665	1	77.6	B73
1_45404668	1	77.97	B73
1_45505474	1	78.71	B73
1_45776685	1	79.08	B73
1_46546361	1	79.45	B73
1_48537151	1	79.81	B73
1_48764553	1	80.55	B73
1_49773715	1	80.92	B73
1_50439182	1	81.29	B73
1_51853057	1	81.66	B73
1_51976905	1	82.03	B73
1_52045357	1	82.76	B73
1_52083094	1	83.13	B73
1_52162314	1	83.5	B73
1_52162316	1	84.61	B73
1_52252502	1	85.35	B73
1_52253712	1	85.72	B73
1_52253719	1	86.09	B73
1_52253735	1	87.57	B73
1_52256755	1	88.68	B73
1_52345238	1	90.91	B73
1_52345405	1	91.65	B73
1_52538918	1	92.02	B73
1_52567938	1	92.75	B73
1_52922759	1	93.12	B73
1_52925235	1	93.49	B73
1_53162347	1	94.23	B73
1_53417451	1	94.6	B73
1_53417479	1	94.97	B73
1_53468425	1	95.7	B73
1_53850163	1	96.07	B73
1_55454752	1	96.81	B73
1_55469544	1	97.18	B73
1_56162355	1	97.55	B73
