QTLID	SourceID	Canopy_Level	Method	sample_size	Chr	Start	End	LOD	LRT	p_value
1	"Mickelson et al.,2002"	3	QTL_Mapping	180	1	283330265	288122750	9.03		
2	"Mickelson et al.,2002"	3	QTL_Mapping	180	2	4056687	4737997	3.66		
3	"Mickelson et al.,2002"	3	QTL_Mapping	180	2	16323124	18818244	5.94		
4	"Mickelson et al.,2002"	3	QTL_Mapping	180	4	179772776	181424569	4.47		
5	"Mickelson et al.,2002"	3	QTL_Mapping	180	5	27043274	31708046	9.9		
6	"Mickelson et al.,2002"	3	QTL_Mapping	180	5	27043274	31708046	10.98		
7	"Mickelson et al.,2002"	3	QTL_Mapping	180	5	195410938	197881442	4.13		
8	"Mickelson et al.,2002"	3	QTL_Mapping	180	6	8276599	87110141	6.54		
9	"Mickelson et al.,2002"	3	QTL_Mapping	180	7	4717236	10801399	12.59		
10	"Mickelson et al.,2002"	3	QTL_Mapping	180	7	17112435	50191461	11.3		
11	"Yu et al.,2006"	3	QTL_Mapping	120	1	7850302	16242223	2.47		
12	"Yu et al.,2006"	3	QTL_Mapping	114	1	175697524	198165779	2.06		
13	"Yu et al.,2006"	3	QTL_Mapping	120	2	13724050	14418060	2.38		
14	"Yu et al.,2006"	3	QTL_Mapping	120	3	13117469	33743281	2.33		
15	"Yu et al.,2006"	3	QTL_Mapping	114	8	100267580	100627621	3.04		
16	"Yu et al.,2006"	3	QTL_Mapping	120	8	122005904	138329683	3.01		
17	"Yu et al.,2006"	3	QTL_Mapping	120	9	127165497	130886466	3.32		
18	"Yu et al.,2006"	3	QTL_Mapping	120	10	142239054	149070314	2.59		
19	"Yu et al.,2006"	3	QTL_Mapping	120	10	145247590	149070314	2.26		
20	"Lu et al.,2007"	3	QTL_Mapping	397	1	7991271	16242223	3.82		
21	"Lu et al.,2007"	3	QTL_Mapping	397	1	257935410	275551409	11.61		
22	"Lu et al.,2007"	3	QTL_Mapping	397	2	1	4737997	3.72		
23	"Lu et al.,2007"	3	QTL_Mapping	397	3	47608189	119666760	4.35		
24	"Lu et al.,2007"	3	QTL_Mapping	397	3	179930588	193797228	11.96		
25	"Lu et al.,2007"	3	QTL_Mapping	397	5	174179562	204659857	10		
26	"Ku et al.,2010"	4	QTL_Mapping	229	1	21418970	22003176	10.8		
27	"Ku et al.,2010"	4	QTL_Mapping	229	2	206145623	223989301	3.8		
