Gene	Maize_Gene_Name	Chr	Start	End	Species
rld2	GRMZM2G042250	1	2791599	2798485	Maize
OsMDP1	GRMZM2G059102 	1	17964695	17986258	Rice
drl1	GRMZM2G088309	1	26576546	26581704	Maize
ZmDWF4/brs1	GRMZM2G065635	1	30536470	30542652	Maize
LPA1	GRMZM2G465595	1	31769080	31772988	Rice
pmk1	GRMZM2G019260	1	34940742	34950638	Maize
phyB1	GRMZM2G124532	1	50023180	50034523	Maize
OsAGO7	GRMZM5G892991	1	75636094	75640439	Rice
br2	GRMZM2G315375	1	202334824	202342008	Maize
SLG	GRMZM2G179703	1	202955872	202958418	Rice
OsSPY	GRMZM2G357804 	1	204686877	204692903	Rice
ZmKAN1	GRMZM2G056400	1	215657189	215662587	Maize
BRD1	GRMZM2G103773	1	249371977	249376239	Maize
bhlh43	GRMZM2G165042	1	252434109	252437685	Maize
phyA1	GRMZM2G157727	1	269388274	269395277	Maize
phyC1	GRMZM2G057935	1	277059620	277064623	Maize
bhlh47	GRMZM2G065374	1	283670986	283676031	Maize
lg1	GRMZM2G036297	2	4265163	4268840	Maize
RAVL1	GRMZM2G102059	2	15033794	15035837	Rice
nal2	GRMZM2G069028	2	143166134	143167976	Rice
OsBUL1	GRMZM2G178182	2	193433358	193435869	Rice
ila	GRMZM2G459854	2	197513532	197522726	Rice
SAUR39	GRMZM2G156470	2	197747108	197747732	Rice
ZmTAC1	GRMZM2G447987	2	221523580	221528269	Maize
GH3-2/tld1-D	GRMZM2G410567	2	224301336	224307757	Rice
OsMADS15	GRMZM2G148693	2	236669675	236679078	Rice
D2/ CYP90D2	GRMZM2G143235	3	5581450	5586286	Rice
OsIAA1	GRMZM2G004696 	3	10076687	10080041	Rice
bhlh68	GRMZM2G115960	3	48806991	48810673	Maize
lg3	GRMZM2G087741	3	53883227	53893066	Maize
RDR6	GRMZM2G082437	3	102502867	102504039	Maize
lg2	GRMZM2G060216	3	176845304	176853978	Maize
LAX	GRMZM2G397518	3	183139911	183140880	Rice
LC1	GRMZM2G061515	3	190144123	190146565	Rice
ZMCLA4	GRMZM2G135019	4	18000248	18006785	Maize
ZmKAN3	GRMZM2G175827	4	80099618	80112468	Maize
Rav6	GRMZM2G042101	4	181930597	181931947	Rice
bhlh60	GRMZM2G016756	5	5102185	5106027	Maize
phyC2	GRMZM2G129889	5	7129937	7134953	Maize
phyA2	GRMZM2G181028	5	10111505	10117216	Maize
yabby9	GRMZM2G074543	5	23592937	23597115	Maize
OsLIC	GRMZM2G089050	5	58232976	58237550	Rice
NA2	GRMZM2G057000	5	65138723	65143833	Maize
LC2	GRMZM2G425774	5	80865001	80872278	Rice
knox6	GRMZM2G370332	5	94481651	94484795	Maize
yabby15	GRMZM2G529859	5	189249294	189252175	Maize
OsHAP3E	GRMZM2G011789 	5	204386830	204388007	Rice
dw1	GRMZM2G159547	5	208398128	208399748	Sorghum
OsMADS55	GRMZM2G046885	5	209573312	209581383	Rice
SGL1	GRMZM2G163776	5	209780883	209782059	Rice
rgd1	GRMZM2G020187	6	17165517	17171948	Maize
JMJ703	GRMZM2G156910	6	116655146	116661337	Rice
dwil1	GRMZM2G013657	6	143487859	143494583	Maize
supPhyA	GRMZM2G145556	6	165593302	165602395	Rice
mwp1	GRMZM2G082264	7	107261176	107267703	Maize
OsBZR1	GRMZM2G102514	7	160551419	160553078	Rice
pif3	GRMZM2G387528	8	935667	938714	Maize
supPhyA	GRMZM2G020291	8	71691764	71699452	Rice
lg4	GRMZM2G094241	8	130383323	130388889	Maize
OsBRI1	GRMZM2G048294	8	154615633	154619705	Rice
lrs1	AC232238.2_FG004	8	166341735	166349613	Maize
OsPIN2	GRMZM2G098643	9	3650989	3654397	Rice
SOL1	GRMZM2G405203	9	18894557	18897788	Rice
ZmBrc1	AC234164.1_FG004	9	24972213	24974672	Maize
OsGSR1	GRMZM2G105364	9	32910946	32912670	Rice
LGN-R	GRMZM2G134382	9	47658297	47660713	Maize
knox2	GRMZM2G055243	9	93868786	93877183	Maize
phyB2	GRMZM2G092174	9	135245567	135251882	Maize
LPA1	GRMZM2G074032	9	144292832	144296553	Rice
drl2	GRMZM2G102218	9	146951299	146956590	Maize
Rld1	GRMZM2G109987	9	154912262	154920527	Maize
OsBAK	GRMZM2G384439	10	71477986	71484046	Rice
yabby14	GRMZM2G005353	10	133133767	133136401	Maize
XIAO	GRMZM2G016477	10	136139046	136143214	Rice
OsLG1	GRMZM2G058588	10	145726895	145730461	Rice
