Gene	Species	annotation	Chr	Maize Gene Model	start	end	Rice Gene Model	Alternative Rice Gene Model Name	Source	Gene Effect
rld2	Maize		1	GRMZM2G042250	2791599	2798485			"Nelson et al., 2002"	
OsMDP1	Rice		1	GRMZM2G059102 	17964695	17986258	Os03g0186600	LOC_Os03g08754	10.1111/j.1365-313X.2006.02804.x	 Primary root elongation. Coleoptile elongation. Leaf angle. Brassinosteroid sensitivity.
drl1	Maize		1	GRMZM2G088309	26576546	26581704			10.1105/tpc.16.00477	
ZmDWF4/brs1	Maize		1	GRMZM2G065635	30536470	30542652			10.1007/s00299-007-0418-4	
LPA1	Rice		1	GRMZM2G465595	31769080	31772988	Os03g0237250	LOC_Os03g13400	10.1104/pp.112.208496	
OsAGO7	Rice		1	GRMZM5G892991	75636094	75640439	Os03g0449200	LOC_Os03g33650	10.1007/s00425-006-0472-0	
br2	Maize		1	GRMZM2G315375	202334824	202342008			10.1126/science.1086072	
SLG	Rice		1	GRMZM2G179703	202955872	202958418	Os08g44840	Loc_Os08g44840	10.1093/jxb/erw204	
OsSPY	Rice		1	GRMZM2G357804 	204686877	204692903	Os08g0559300	LOC_Os08g44510	10.1111/j.1365-313X.2006.02875.x	 Dwarfism. Leaf angle.
ZmKAN1	Maize	ZmKAN1	1	GRMZM2G056400	215657189	215662587			10.1105/tpc.108.059709	
BRD1	Maize		1	GRMZM2G103773	249371977	249376239			10.1371/journal.pone.0030798	
lg1	Maize	liguleless1	2	GRMZM2G036297	4265163	4268840			10.1101/gad.11.5.616	
RAVL1	Rice		2	GRMZM2G102059	15033794	15035837	Os04g0581400	LOC_Os04g49230	10.1105/tpc.109.069575	
nal2	Rice		2	GRMZM2G069028	143166134	143167976	Os11g0102100	LOC_Os11g01130	10.1104/pp.107.095737	
OsBUL1	Rice		2	GRMZM2G178182	193433358	193435869	Os09g0510500	LOC_Os09g33580	10.1104/pp.16.01653	
ila	Rice		2	GRMZM2G459854	197513532	197522726	Os06g0724900	LOC_Os06g50920	10.1105/tpc.111.093419	
SAUR39	Rice		2	GRMZM2G156470	197747108	197747732	Os09g37330	LOC_Os09g37330	10.1104/pp.109.143875	 Dwarfism. Leaf angle. Root growth. Regulation of auxin level and transport.
ZmTAC1	Maize		2	GRMZM2G447987	221523580	221528269			10.1371/journal.pone.0020621	
GH3-2/tld1-D	Rice		2	GRMZM2G410567	224301336	224307757	Os11g0528700	LOC_Os11g32520	10.1104/pp.109.146803	
OsMADS15	Rice		2	GRMZM2G148693	236669675	236679078	Os07g0108900	LOC_Os07g01820	10.1007/s11105-012-0468-9	 Floral organ formation. Dwarfism. Tiller angle. Flowering time.
D2/ CYP90D2	Rice		3	GRMZM2G143235	5581450	5586286	Os01g0197150	LOC_Os01g10040	10.1105/tpc.014712	
OsIAA1	Rice		3	GRMZM2G004696 	10076687	10080041	Os01g0178500	LOC_Os01g08320	10.1007/s11103-009-9474-1	 Dwarfism. Leaf angle. Root length.
lg3	Maize	liguleless3	3	GRMZM2G087741	53883227	53893066			10.1104/pp.119.2.651	
RDR6	Maize		3	GRMZM2G082437	102502867	102504039			10.1105/tpc.15.00194	
lg2	Maize	liguleless2	3	GRMZM2G060216	176845304	176853978			10.1101/gad.12.2.208	
LAX	Rice		3	GRMZM2G397518	183139911	183140880	Os01g0831000	LOC_Os01g61480	10.1073/pnas.1932414100	
LC1	Rice		3	GRMZM2G061515	190144123	190146565	Os01g0785400	LOC_Os01g57610	10.1093/mp/sss064	 Leaf angle.
ZMCLA4	Maize		4	GRMZM2G135019	18000248	18006785			10.1093/jxb/eru271	
ZmKAN3	Maize	ZmKAN3	4	GRMZM2G175827	80099618	80112468			10.1105/tpc.108.059709	
Rav6	Rice		4	GRMZM2G042101	181930597	181931947	Os02g0747900	LOC_Os02g51320	10.1104/pp.15.00836	
yabby9	Maize		5	GRMZM2G074543	23592937	23597115			10.1242/dev.01328	
OsLIC	Rice		5	GRMZM2G089050	58232976	58237550	Os06g0704300	LOC_Os06g49080	10.1371/journal.pone.0003521	 Dwarfism. Leaf angle. Tillering.
NA2	Maize		5	GRMZM2G057000	65138723	65143833			10.1104/pp.16.00399	
LC2	Rice		5	GRMZM2G425774	80865001	80872278	Os02g0152500	LOC_Os02g05840	10.1038/cr.2010.109	
knox6	Maize		5	GRMZM2G370332	94481651	94484795			10.1105/tpc.6.12.1877	
yabby15	Maize		5	GRMZM2G529859	189249294	189252175			10.1242/dev.01328	
OsHAP3E	Rice		5	GRMZM2G011789 	204386830	204388007	Os02g0725700	LOC_Os02g49370	10.1016/j.plantsci.2011.04.009	 Dwarfism. Leaf angle. Floral organ formation
dw1	Sorghum		5	GRMZM2G159547	208398128	208399748			10.1371/journal.pone.0151271	
OsMADS55	Rice		5	GRMZM2G046885	209573312	209581383	Os06g0217300	LOC_Os06g11330	10.1111/j.1365-313X.2008.03406.x	 Dwarfism. Leaf angle. Brassinosteroid sensitivity.
SGL1	Rice		5	GRMZM2G163776	209780883	209782059	Os02g0762600	LOC_Os02g52490	10.1104/pp.111.187567	 Culm and rachis internode elongation. Seed development. Cell proliferation. Leaf angle. Brassinolide sensitivity.
rgd1	Maize		6	GRMZM2G020187	17165517	17171948			10.1101/gad.1528607	
JMJ703	Rice		6	GRMZM2G156910	116655146	116661337	Os05g0196500	LOC_Os05g10770	10.1073/pnas.1217020110	 Dwarfism. Panicle size. Grain size. Leaf angle.
mwp1	Maize		7	GRMZM2G082264	107261176	107267703			10.1105/tpc.108.059709	
OsBZR1	Rice		7	GRMZM2G102514	160551419	160553078	Os07g0580500	LOC_Os07g39220	10.1073/pnas.0706386104	 Dwarfism. Leaf angle. Brassinosteroid sensitivity.
lg4	Maize	liguleless4	8	GRMZM2G094241	130383323	130388889			10.1105/tpc.6.12.1877	
OsBRI1/dwarf 61	Rice		8	GRMZM2G048294	154615633	154619705	Os01g0718300	LOC_Os01g52050	10.1105/tpc.12.9.1591	 Brassinosteroid sensitivity. Dwarfism. Leaf angle. Skotomorphogenesis.
lrs1	Maize	liguleless related sequence	8	AC232238.2_FG004	166341735	166349613			10.1534/genetics.166.2.935	Related to lg2
OsPIN2	Rice		9	GRMZM2G098643	3650989	3654397	Os06g0660200	LOC_Os06g44970	10.1111/j.1467-7652.2011.00637.x	 Dwarfism. Tillering. Tiller angle. Auxin transport.
